id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
3513165,21114611122002213000000000U4,16 DE SEPTIEMBRE DE 1810,SECRETARIA DE EDUCACION PUBLICA,611122,Escuelas de educación primaria del sector público,11 a 30 personas,CALLE,14 A SUR,CALLE,111 A ORIENTE,PROLONGACION,PROLONGACION DE LA 14 SUR,CALLE,14 A SUR,,SN,,,,,CONJUNTO HABITACIONAL,INFONAVIT SAN JORGE,,,,72587,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,5396,40,2229821055,,,Fijo,18.98568285,-98.21751302,2014-12
3518450,21114611121000542001000000U0,ANTONIO CASO,,611121,Escuelas de educación primaria del sector privado,0 a 5 personas,AVENIDA,ACATLAN,AVENIDA,TECALI,PROLONGACION,DE LA 3 SUR,CALLE,TEPETITLAN,303,,,,,,COLONIA,GRANJAS DEL SUR,,,,72470,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,3883,5,2228920184,,,Fijo,19.00190586,-98.22436022,2010-07
3372399,21114611122003763000000000U1,BICENTANARIO DE LA INDEPENDENCIA DE MEXICO,SECRETARIA DE EDUCACION PUBLICA DEL ESTADO DE PUEBLA,611122,Escuelas de educación primaria del sector público,11 a 30 personas,ANDADOR,LA LUZ,PRIVADA,NINGUNO,CALLE,NUBE,AVENIDA,MIGUEL DE LA MADRID HURTADO,,SN,,,,,COLONIA,SAN ALFONSO,,,,72494,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,5733,22,2221863785,ESC.BIM@HOTMAIL.COM,,Fijo,18.96649986,-98.2348808,2014-12
3371564,21114611121001622001000000U9,CADETE AGUSTIN MELGAR,ROSAS MATA Y ASOCIADOS,611121,Escuelas de educación primaria del sector privado,11 a 30 personas,CALLE,3 NORTE,AVENIDA,4 PONIENTE,AVENIDA,2 PONIENTE,CALLE,IGNACIO ZARAGOZA,212,,,,,,BARRIO,SANTA CATARINA,,,,72595,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,4275,21,2217049909,ICAM99@HOTMAIL.COM,,Fijo,18.97182655,-98.18539301,2014-12
10584514,21114611122004102000000000U7,CALMECAC,SECRETARIA DE EDUCACION PUBLICA,611122,Escuelas de educación primaria del sector público,6 a 10 personas,CALLE,PIÑA OLAYA,CALLE,TEPEXI DE RODRIGUEZ,CALLE,EMILIANO ZAPATA,CALLE,FRANCISCO I. MADERO,,SN,,,,,COLONIA,TEPEXI DE RODRIGUEZ,,,,72227,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,2777,14,,,,Fijo,19.08943629,-98.13638442,2024-11
3257296,21114611122002943000000000U6,CCT 21DPR0234Y ESCUELA PRIMARIA FEDERAL CLUB DE LEONES 3,CCT 21DPR0234Y ESCUELA PRIMARIA FEDERAL CLUB DE LEONES 3,611122,Escuelas de educación primaria del sector público,11 a 30 personas,CALLE,FRANCISCO VILLA,AVENIDA,FRANCISCO SARABIA,AVENIDA,EMILIANO ZAPATA,CALLE,VENUSTIANO CARRANZA,5603,,,,,,COLONIA,ADOLFO LOPEZ MATEOS,,,,72240,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,353A,20,,,,Fijo,19.06634113,-98.18023229,2010-07
3460420,21114611121000432001000000U4,CENTRO EDUCATIVO ANGELOPOLIS PRIMARIA,CENTRO EDUCATIVO ANGELOPOLIS,611121,Escuelas de educación primaria del sector privado,6 a 10 personas,AVENIDA,MIGUEL NEGRETE,CALLE,GENERAL JOAQUIN COLOMBRES,CALLE,GENERAL PEDRO HINOJOSA,CALLE,FELIPE BERRIOZABAL,15,,,,,,COLONIA,HEROES DE PUEBLA,,,,72520,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,728,11,,CEA_PUEBLA@HOTMAIL.COM,,Fijo,19.0216322,-98.1781833,2010-07
6380640,21114611121001433000000000U1,CENTRO EDUCATIVO SALVADOR ZAMUDIO,ASOCIACION PARA EL FOMENTO DE LA CAPACITACION INFANTIL,611121,Escuelas de educación primaria del sector privado,11 a 30 personas,PROLONGACION,CIRCUITO,CERRADA,MIGUEL NEGRETE,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,5003,,,,,,FRACCIONAMIENTO,SATELITE MAGISTERIAL,,,,72320,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,3633,35,,CESZAZAMUDIO.PRIM@GMAIL.COM,,Fijo,19.04799867,-98.1555056,2014-12
3367055,21114611121001603000000000U9,CENTRO EDUCATIVO SAN PATRICIO,,611121,Escuelas de educación primaria del sector privado,11 a 30 personas,CALLE,JACARANDAS,CALLE,3 A SUR,CALLE,3 SUR,AVENIDA,57 PONIENTE,312,,,,,,COLONIA,EL CERRITO,,,,72440,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,1425,34,2222435676,INFORMES@PATRICIODEIRLANDA.COM,WWW.PATRICIODEIRLANDA.COM,Fijo,19.02042704,-98.21518061,2014-12
3314223,21015611122000243102000000U2,CENTRO ESCOLAR MANUEL ESPINOSA YGLESIAS PRIMARIA MATUTINO,SECRETARIA DE EDUCACION PUBLICA DEL ESTADO DE PUEBLA,611122,Escuelas de educación primaria del sector público,11 a 30 personas,AVENIDA,MANUEL ALONSO,AVENIDA,MANUEL ALONSO,AVENIDA,SAN ALFONSO,CALLE,CAMINO CAMPO REAL,,SN,,,,,COLONIA,SANTA MARGARITA,,,,72310,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,6784,40,,21EPR1501J@SEPPUE.GOB.MX,,Fijo,19.04676282,-98.12193657,2014-12
3314230,21015611122000252101000000U3,CENTRO ESCOLAR MANUEL ESPINOSA YGLESIAS PRIMARIA VESPERTINA,SECRETARIA DE EDUCACION PUBLICA DEL ESTADO DE PUEBLA,611122,Escuelas de educación primaria del sector público,11 a 30 personas,AVENIDA,MANUEL ALONSO,AVENIDA,MANUEL ALONSO,AVENIDA,SAN ALFONSO,CALLE,CAMINO CAMPO REAL,,SN,,,,,COLONIA,SANTA MARGARITA,,,,72310,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,6784,40,2229683472,PRIMVESP76Z@GMAIL.COM,,Fijo,19.04676722,-98.12193187,2014-12
3362640,21114611122003632001000000U4,CENTRO ESCOLAR NIÑOS HEROES DE CHAPULTEPEC,SECRETARIA DE EDUCACION PUBLICA PRIMARIA NOCTURNA 21EPR0552J,611122,Escuelas de educación primaria del sector público,0 a 5 personas,CALLE,10 SUR,AVENIDA,11 ORIENTE,AVENIDA,23 ORIENTE,CALLE,10 SUR,1501,,,17,,,COLONIA,BARRIO DE ANALCO,EDIFICIO COMERCIAL Y DE SERVICIOS,CENTRO ESCOLAR NIÑOS HEROES DE CHAPULTEPEC,7,72530,21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza                                                                                    ,378A,8,,LAURITASOTORAMOS@GMAIL.COM,,Fijo,19.03483499,-98.19536284,2014-12
